Designator,Mid X,Mid Y,Rotation,Layer
C1,117.76,-90.54,90.0,top
C10,132.08,-93.44,90.0,top
C11,124.66,-100.68,180.0,top
C12,118.41,-105.37,90.0,top
C13,121.16,-101.07,180.0,top
C14,121.05,-99.25,180.0,top
C15,131.8,-90.8875,270.0,top
C16,130.685,-104.09,90.0,top
C17,128.735,-100.705,270.0,top
C18,130.775,-100.865,270.0,top
C19,128.795,-104.36,90.0,top
C2,118.01,-95.275,90.0,top
C20,137.9,-90.8875,90.0,top
C3,119.86,-109.77,270.0,top
C4,118.25,-110.01,90.0,top
C5,117.27,-106.17,90.0,top
C6,122.25,-110.37,0.0,top
C7,122.36,-112.32,0.0,top
C8,137.92,-93.945,270.0,top
C9,118.43,-107.3,270.0,top
G1,125.28,-109.38,0.0,top
J1,127.72,-86.3,90.0,top
J2,134.62,-113.0875,90.0,top
R1,127.59,-96.19,180.0,top
R2,134.48,-109.4875,90.0,top
R3,137.24,-109.4575,90.0,top
R4,132.0,-109.5,90.0,top
U1,122.275,-92.9,0.0,top
U2,122.2,-105.18,0.0,top
U3,134.8,-91.1,90.0,top
